series_id, gyro, mag, accel, system, ax, ay, az, gx, gy, gz, mx, my, mz, eulerx, eulerx, eulerz, linax, linay, linaz, grx, gry, grz, qw, qx, qy, qz, qeulerx, qeulery, qeulerZ, temp, target 
0, 3, 3, 3, 0, 1.99, 0.07, 9.58, -0.12, 1.12, -0.50, -0.37, 23.06, -54.69, 301.81, 10.69, 0.25, 0.16, 0.12, -0.04, 1.82, -0.04.1, 9.63, 0.87, 0.04, -0.08, 0.48,58.17,-10.73,-0.27, 33,good
0, 3,3,3,0,1.92,0.0,9.46,0.0,0.37,0.31,0.69,22.37,-54.75,301.75,10.56,0.19,0.12,0.03,-0.17,1.8,-0.03,9.63,0.87,0.04,-0.08,0.48,58.23,-10.62,-0.23,33,good
0, 3,3,3,0,2.05,0.02,9.34,1.06,1.81,-1.75,-0.06,23.06,-54.69,301.75,10.5,0.06,0.25,0.04,-0.29,1.79,-0.02,9.64,0.87,0.04,-0.08,0.48,58.2,-10.52,-0.11,33,good
0, 3,3,3,0,1.66,0.01,9.68,1.88,0.12,0.0,1.75,22.37,-55.5,301.81,10.25,0.0,-0.08,0.01,0.03,1.74,0.0,9.64,0.87,0.04,-0.08,0.48,58.14,-10.28,0.01,33,good
0, 3,3,3,0,1.9,0.05,9.47,0.88,-0.37,1.37,1.37,22.69,-54.69,301.75,10.31,-0.06,0.14,0.04,-0.16,1.76,0.01,9.64,0.87,0.04,-0.08,0.48,58.25,-10.34,0.12,33,good
0, 3,3,3,0,1.92,0.13,9.43,1.37,-0.63,-0.94,1.06,22.37,-55.5,301.63,10.38,-0.19,0.15,0.1,-0.21,1.77,0.03,9.64,0.87,0.05,-0.08,0.49,58.31,-10.42,0.2,33,good
0, 3,3,3,0,1.65,-0.04,9.66,0.75,-0.63,-1.94,2.19,22.0,-54.69,301.75,10.38,-0.25,-0.11,-0.09,0.02,1.77,0.05,9.64,0.87,0.05,-0.08,0.48,58.19,-10.44,0.32,33,good
0, 3,3,3,0,1.99,0.17,9.42,1.81,-1.44,-1.31,1.06,23.06,-55.06,301.81,10.44,-0.37,0.21,0.11,-0.21,1.78,0.06,9.64,0.87,0.05,-0.08,0.48,58.1,-10.46,0.41,33,good
0, 3,3,3,0,1.81,0.1,9.66,1.56,0.0,0.63,0.69,23.06,-53.88,301.81,10.25,-0.44,0.06,0.02,0.02,1.75,0.08,9.64,0.87,0.05,-0.08,0.48,58.12,-10.29,0.49,33,good
0, 3,3,3,0,1.7,0.01,8.55,6.88,3.81,1.63,0.37,23.75,-55.06,301.75,10.25,-0.75,0.37,0.53,-1.01,1.74,0.13,9.64,0.87,0.05,-0.07,0.48,58.17,-10.23,0.8,33,good
