age,workclass,education.num,marital.status,occupation,relationship,sex,capital.gain,capital.loss,hours.per.week,income
31.0,Private,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Male,0.0,0.0,40.0,<=50K
31.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,Male,0.0,0.0,40.0,<=50K
37.0,Private,9.0,Married-civ-spouse,Other-service,Husband,Male,0.0,0.0,40.0,>50K
19.0,Federal-gov,10.0,Never-married,Adm-clerical,Own-child,Female,0.0,0.0,10.0,<=50K
54.0,Federal-gov,9.0,Widowed,Adm-clerical,Unmarried,Female,0.0,0.0,35.0,<=50K
27.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,Male,0.0,0.0,42.0,>50K
26.0,Private,9.0,Never-married,Craft-repair,Own-child,Male,0.0,0.0,40.0,<=50K
54.0,Local-gov,10.0,Never-married,Prof-specialty,Not-in-family,Female,0.0,0.0,40.0,<=50K
30.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,Male,0.0,1740.0,40.0,<=50K
20.0,Private,10.0,Never-married,Tech-support,Own-child,Male,0.0,0.0,15.0,<=50K
38.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,Male,99999.0,0.0,65.0,>50K
34.0,Private,13.0,Never-married,Sales,Not-in-family,Male,0.0,0.0,65.0,>50K
39.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,Male,0.0,0.0,35.0,<=50K
23.0,Private,9.0,Never-married,Sales,Own-child,Male,0.0,0.0,40.0,<=50K
32.0,Private,10.0,Never-married,Sales,Own-child,Male,0.0,0.0,35.0,<=50K
44.0,Private,10.0,Divorced,Exec-managerial,Not-in-family,Female,0.0,0.0,50.0,<=50K
32.0,Private,9.0,Divorced,Craft-repair,Own-child,Male,0.0,0.0,40.0,<=50K
38.0,Private,10.0,Never-married,Sales,Own-child,Female,0.0,0.0,50.0,<=50K
19.0,Private,10.0,Never-married,Sales,Own-child,Male,0.0,0.0,35.0,<=50K
26.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,Male,0.0,0.0,50.0,<=50K
56.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,Male,4508.0,0.0,40.0,<=50K
23.0,Private,9.0,Never-married,Other-service,Unmarried,Female,0.0,0.0,35.0,<=50K
38.0,Private,9.0,Divorced,Machine-op-inspct,Other-relative,Female,0.0,0.0,40.0,<=50K
22.0,,4.0,Never-married,,Own-child,Male,0.0,0.0,40.0,<=50K
43.0,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,Male,0.0,0.0,40.0,<=50K
,Private,7.0,Divorced,Handlers-cleaners,Other-relative,Male,0.0,1721.0,40.0,<=50K
45.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,Male,7688.0,0.0,50.0,>50K
49.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,Male,0.0,1485.0,40.0,>50K
31.0,Federal-gov,10.0,Never-married,Tech-support,Not-in-family,Male,0.0,0.0,40.0,<=50K
28.0,State-gov,13.0,Never-married,Tech-support,Own-child,Male,0.0,0.0,20.0,<=50K
43.0,Private,3.0,Married-civ-spouse,Machine-op-inspct,Wife,Female,0.0,0.0,40.0,>50K
40.0,Private,15.0,Never-married,Prof-specialty,Not-in-family,Female,14084.0,0.0,50.0,>50K
27.0,Private,14.0,Never-married,Exec-managerial,Not-in-family,Female,0.0,0.0,25.0,<=50K
43.0,Private,9.0,Divorced,Transport-moving,Not-in-family,Male,0.0,0.0,60.0,<=50K
32.0,Private,10.0,Married-civ-spouse,Handlers-cleaners,Husband,Male,0.0,0.0,38.0,<=50K
23.0,State-gov,10.0,Never-married,Prof-specialty,Not-in-family,Male,0.0,0.0,40.0,<=50K
41.0,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,Male,0.0,0.0,35.0,>50K
